173;"335";;;0;0;0;"0";;;
"TRUE";"13.2.3";"A";;;;;;;;
;"13.3.1";"A";;;;;;;;
;"13.4.1";"AAA";;;;;;;;
;"13.5.1";"AAA";;;;;;;;
"TRUE";"13.6.1";"A";;;;;;;;
"TRUE";"13.6.2";"A";;;;;;;;
"TRUE";"13.6.3";"A";;;;;;;;
"TRUE";"13.7.1";"A";;;;;;;;
;"13.8.1";"A";;;;;;;;
;"13.9.1";"AAA";;;;;;;;
;"13.10.1";"AAA";;;;;;;;
;"13.11.1";"A";;;;;;;;
;"13.12.1";"A";;;;;;;;
;"13.13.1";"AAA";;;;;;;;
;"13.14.1";"AAA";;;;;;;;
;"13.15.1";"A";;;;;;;;
;"13.15.2";"A";;;;;;;;
;"13.15.3";"A";;;;;;;;
;"13.16.1";"AAA";;;;;;;;
;"13.16.2";"AAA";;;;;;;;
;"13.16.3";"AAA";;;;;;;;
;"13.17.1";"A";;;;;;;;
;"13.17.2";"A";;;;;;;;
